Year,DoY,Hour,NEE,LE,H,Rg,Tair,Tsoil,rH,VPD,Ustar,PPFD,SWC_5cm,SWC_20cm,QC_flag
2023,1,0,2.5804,7.1654,-45.7319,0,14.76,13.97,78.91,5.4763,0.41463,0.056,22.4,30.6,0
2023,1,0.5,NaN,2.4957,-35.7871,0,14.35,13.925,80.8,5.025,0.34148,0.055,22.4,30.6,0
2023,1,1,NaN,NaN,-25.6182,0,13.95,13.875,83.9,4.4679,0.21744,0.046,22.4,30.6,2
2023,1,1.5,NaN,-1.4616,-33.5717,0,13.74,13.82,84.5,4.3102,0.30053,0.057,22.4,30.6,2
2023,1,2,NaN,-1.7037,-33.8065,0,13.63,13.77,86.3,3.9996,0.35204,0.042,22.4,30.6,0
2023,1,2.5,3.672,NaN,-50.4824,0,13.25,13.72,88.8,3.583,0.41325,0.052,22.4,30.6,0
2023,1,3,4.9409,-6.0559,-56.9516,0,13.21,13.67,90.9,3.3125,0.48856,0.064,22.4,30.6,0
2023,1,3.5,4.4281,-3.1974,-43.0954,0,13.24,13.63,93.1,2.9935,0.49894,0.037,22.4,30.6,0
2023,1,4,3.6956,-1.7152,-38.7817,0,13.12,13.595,95,2.844,0.49579,0.065,22.4,30.6,0
2023,1,4.5,4.9086,NaN,-35.4575,0,13.16,13.56,96.5,2.7404,0.59545,0.057,22.4,30.6,0
2023,1,5,6.8849,-2.6379,-27.9556,0,13.7,13.555,97.2,2.3886,0.63997,0.057,22.4,30.6,0
2023,1,5.5,5.7801,NaN,-21.7217,0,14.04,13.58,97.7,2.3521,0.60834,0.063,22.3,30.6,0
2023,1,6,5.4627,-3.1634,-22.4532,0,14.3,13.605,98.4,2.4571,0.62415,0.076,22.3,30.6,0
2023,1,6.5,8.0085,NaN,-26.4059,0,14.88,13.635,98.7,3.1904,0.68485,0.083,22.3,30.6,0
2023,1,7,5.29,NaN,NaN,0,15.52,13.675,98.9,3.2811,0.69573,3.109,22.3,30.6,0
2023,1,7.5,3.8746,NaN,-15.002,8.66,15.83,13.715,99.1,3.8522,0.63646,15.88,22.3,30.6,0
2023,1,8,2.734,-6.2789,21.7999,21.6,16,13.76,99.3,4.4622,0.5069,40.6,22.3,30.6,0
2023,1,8.5,7.0488,-9.8742,-18.6017,41.08,16.4,13.81,99.5,4.6838,0.65893,76.81,22.3,30.6,0
2023,1,9,NaN,NaN,NaN,50.77,16.8,13.875,99.5,4.8907,0.72102,94.9,22.3,30.6,2
2023,1,9.5,NaN,-25.9369,-43.7749,86.7,17.12,13.945,99.6,5.5215,0.69285,161,22.3,30.6,2
2023,1,10,2.5285,-17.5237,12.6036,138,17.32,14.035,99.7,5.0545,0.85491,253,22.3,30.5,0
