Year,DoY,Hour,NEE,LE,H,Rg,Tair,Tsoil,rH,VPD,Ustar,PPFD,SWC_5cm,SWC_20cm,QC_flag
2022,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
2022,1,0.5,3.745213,2.946914,-29.4822,NaN,NaN,NaN,NaN,0.15582,0.838084,NaN,NaN,NaN,0
2022,1,1,6.220174,NaN,-42.014621,NaN,NaN,NaN,NaN,0.25583,0.822153,NaN,NaN,NaN,0
2022,1,1.5,4.528096,4.055828,-48.079645,NaN,NaN,NaN,NaN,0.55638,0.803689,NaN,NaN,NaN,0
2022,1,2,5.14099,9.099554,-54.467816,NaN,NaN,NaN,NaN,0.69881,0.786745,NaN,NaN,NaN,0
2022,1,2.5,4.048383,13.19864,-42.429579,NaN,NaN,NaN,NaN,1.376,0.695471,NaN,NaN,NaN,0
2022,1,3,2.922533,5.496855,-31.677743,NaN,NaN,NaN,NaN,2.0524,0.570765,NaN,NaN,NaN,0
2022,1,3.5,3.869847,10.523488,-36.920507,NaN,NaN,NaN,NaN,2.1924,0.595601,NaN,NaN,NaN,0
2022,1,4,3.801159,9.093525,-39.841152,NaN,NaN,NaN,NaN,1.9394,0.673574,NaN,NaN,NaN,0
2022,1,4.5,2.544016,-0.487452,-32.111472,NaN,NaN,NaN,NaN,1.3912,0.633487,NaN,NaN,NaN,0
2022,1,5,2.957768,2.035202,-29.773991,NaN,NaN,NaN,NaN,1.1178,0.557238,NaN,NaN,NaN,0
2022,1,5.5,2.785787,8.389344,-26.059242,NaN,NaN,NaN,NaN,1.1924,0.565312,NaN,NaN,NaN,0
2022,1,6,3.159742,4.297441,-28.128527,NaN,NaN,NaN,NaN,1.1908,0.600055,NaN,NaN,NaN,0
2022,1,6.5,1.797941,5.299286,-15.844587,NaN,NaN,NaN,NaN,0.88362,0.474299,NaN,NaN,NaN,0
2022,1,7,3.640399,NaN,-25.616128,NaN,NaN,NaN,NaN,0.57531,0.600562,NaN,NaN,NaN,0
2022,1,7.5,2.687107,1.85027,-20.304834,NaN,NaN,NaN,NaN,0.44046,0.511083,NaN,NaN,NaN,0
2022,1,8,2.168226,9.108101,-12.639543,NaN,NaN,NaN,NaN,0.36005,0.475465,NaN,NaN,NaN,0
2022,1,8.5,1.74813,13.307335,-12.821382,NaN,NaN,NaN,NaN,0.41092,0.527847,NaN,NaN,NaN,0
2022,1,9,5.619707,31.277886,-34.747457,NaN,NaN,NaN,NaN,0.86564,0.702857,NaN,NaN,NaN,0
